#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
tune [тун][тью:н]|мелодия,мотив / 2,настраивать|тюнер / tune тьюн туне / ТЮНЕр крутил и *настраивал станцию и *напевал *мелодию и *мотив|
 tuning [туниН][тью:ниН]|тюнинг,настройка||
turn [тэрн][тэ:н]|повернуть,очередь,смена|турникет турнир / return ритёрн ретурн / *возвращение *вернуться, пеРЕ + (turn терн поворот) = переповорот / turn тёрн турн / ТУРНикет *поворачивается и люди идут по *очереди на *смену / на ТУРНире на ТУРНике *вращаюсь|
 in-turn [интэ:н]|по-очереди,вперемешку||
 by-turns [баитэ:нз]|по-очереди||
 turnover [тэр,ноувэр][тэ:н,эувэ]|оборот,оборот(экон.)||
turtle [тэртэл][тэ:тл]|черепаха|тортила / turtle тёртэл туртле / *черепаха ТАРТИЛа карабаса проглотила (tortoise тортэс *черепаха)|
tutor [тутэр][тью:тэ]|репетитор,преподаватель|репе-титор / tutor тутэр тутор / *репеТИТОР *наставник *домашний-учитель (tutorial учебник)|
 tutorial [ту'ториэл][тью:'тэ:риэл]|учебник,руководство|tutor тутэр тутор / *репеТИТОР *наставник *домашний-учитель (tutorial учебник)|
type [таип]|тип,печатать,набирать-текст|типография / tape теип тапе / телеТАЙП с *лентой (type тайп тип печатать типографский) / type таип типе / *ТИП *ТИПичный *модель *символ *литера *шрифт *печать *ТИПографский (tape тейп лента для печати азбукой морзе в телеграфе)(typist тайпист машинистка)|
 typewriter [таи,праитэр][таип,раитэ]|пишущая-машинка,печатная-машинка||
underground [эндэр,граунд][Андэграунд]|под-землей,подземный|% андеграунд / underground андэРграунд ундергроунд / *метрополитен *подземный / АНДЕ-ГРАУНД это под-андер + землей-граунд|
unique [ью:'ни:к]|уникальный|%|
 uniqueness [ью:'ни:кнэс]|уникальность||
unit [ьюнэт][ью:нит]|единица,элемент|юнит / unit юнит унит / *элемент игры - ЮНИТ через УНИТаз пролез в секретное место, там было море патронов и костюмчик / unit-of-measurement юнэтэвмежэрмэнт *единица-измерения|
unite [ью,наит][ью:'наит]|объединяться,объединять|юннаты / unite юнайт уните / ЮННАТы *объединились в УНИТАрное общество / united states - *соединённые штаты (unity юнити единство)|
 unity [ьюнэти][ью:нити]|единство|unite юнайт уните / ЮННАТы *объединились в УНИТАрное общество / united states - *соединённые штаты (unity юнити единство)|
 union [ью:ньэн]|союз|совьет юниен,  юннаты / union юнйэн унион / *союз ЮННАтов и живодеров / совьет ЮНИОН - советский союз|
update [эп,деит][эп'деит][Ап'деит]|обновлять,обновление|апдейт / АПДЕЙТ (комп сленг) *обновлять *обновление = вверх(up ап) + дата(date дейт)(update апдейт) / update апдейт упдате / *обновлять *обновление это АПДЕЙТ(комп сленг) = вверх-ап + дата-дейт|
