#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
fraud[фро:д]|обман,мошенничество|au=оо, вроде маВРОДи из ммм был *мошенник и обчистил доверчивых буратин, а лёня голубков крайний оказался/в *мошеничестве с кольцами замешан ФРОДо бэгинс, он же фёдор сумкин/на ФРОнте Добровольцев *обманули и кинули (под танк)/ ФРЭДи крюгер *обманул пионерскую организацию и вступил в пионеры за взятку (дал директору на лапу) потом стал генсеком и довёл страну до ручки| fraudulent[фроджэлэнт][фро:дьюлэнт]мошеннический ЛЕНТяй
freight[фреит]|груз,грузовой|~фрахт|
frequency[фри:кВэнси]|частота|повара ФРИКадельки УНОСЯт *часто домой/ФРИК ВЕчНо СИдит дома и *часто ловит *частоту голос америки|frequent[фри,кВент][фри:кВэнт] *частый гость залетает к нам в окно - какой-то ФРИК с ВЕНТилятором на спине/свободный(free~ФРИ) КВЕНТин в карантине *часто снимает кровавые фильмы ужасов//infrequent[ин'фри:кВэнт]нечастый/in=не
freshen-up[фрешэн-эп][фрешнАп]|освежиться|(fresh~фреш свежий) + вверх=готово|
fret[фрет]|волноваться|когда муха *волнуется - она ФРЕТ от страха/народ *беспокоится что президент всё время ВРЕТ и двойник| fretful[фретфэл][фретфул]раздражительный,капризный/-ful прил полный волнений
fright[фраит]|испуг|*страх (fight~файт бой драка борьба)(flight~флайт полет перелет) *страх в *полете и воздушном *бою/во ФРАке И Троль *напугает труляля| frighten[фраитэн][фраитн]пугать/ ФРАЙер затаился в ТЕНи чтобы *испугать тебя до смерти/ хрупкая ФРЕЙлина своей ТЕНи *испугалась и наложила в штаны// frightful[фраитфэл][фраитфул]ужасный/-ful прил =полный ужасов// frighten-off[фраитэн-оф][фраитноф]отпугнуть,отпугивать/+прочь
frog[фраг][фрог]|лягушка|ФРАГмент *лягушки препарировали на уроке юные живодёры/ФРАнцузы Голодные едят *лягушек/ФРанцузы РОГатые едят *лягушек когда изменяют/В РОГ быка *лягушка прячет заначку/у пьяной ФРОси на РОГах любит сидеть *лягушка и курить|toad~тоуд жаба
front[фрэнт][фрАнт]|перед,передний|о=а, ФРОНТ это *передовая линия/ФРАНТ бегает по *фасаду дома и заглядывает в окна, лови его|in-front-of[инфрАнтов]перед нами выносят ИНвалидов ФРОНТОВиков//frontal[фрэнтэл][фрАнтл]передний,лобовой,фронтальный %// frontier[фрэн'тир][фрАнтиэ]граница/~ФРОНТ по *границе/-er исполнитель?
frost[фрост]|мороз|ФРОСя на *морозе ныряеТ в прорубь, она моржиха/на *морозе *иней на Ветках и снег хРУСТит|freeze~фриз (froze,frozen) антиФРИЗ против *замерзания// frozen~фроузэн замороженный
frown[фраун]|хмуриться|ФРАУ ева бРАУН *неодобрительно *нахмурила-брови(brow~брау) достала коричневый БРАУНинг и застрелила фюрера/ФРАУ *Нахмурила-брови и пошла к пани со сковородкой(frying-pan фраиНпэн) на разборки, будет махач|
