#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
subway [сэб,Веи][сАбВеи]|метро,метро(US)|под+путь / subway сабВеи / *подземный-переход = под-sub + путь-way|
succeed [сэк'си:д]|преуспевать,достичь-цели|секс идиоты / succeed сэксид суксед / в СЕКСе ИДиоты *преуспели и быстро размножаются (кино идиократия)|
success [сэк'сес]|успех|сексуальная секретутка / success сэксес суццесс / СЕКСуальная Секретарша охмырила шефа и добилась *удачи *достижения *победы (successfully сэксесфэли успешно)|
 successful [сэк'сесфэл][сэк'сесфул]|успешный||
 unsuccessful [энсэк'сесфэл][Ансэк'сесфул]|неудачный||
 succession [сэк'сешэн]|преемственность,последовательность|успехов|
 successive [сэк'сесив]|последовательный,последующий||
 successor [сэк'сесэр][сэк'сесэ]|преемник|=успешник|
suck [сэк][сАк]|сосать|сок / suck сак суцк / *сосал березовый СОК из трубочки и пилил СУК на котором сидел, потом рухнул с дуба|
sudden [сэдэн][сАдн]|внезапный|в судный день 4 всадника / suddenly саднли судденли / в СУДНый день 4 вСАДНика апокалипсиса *внезапно напаЛИ на землю! ну наконец-то! встречали с цветами! (sudden саден внезапный)|
