g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
2281. accurate [Экйэрэт] | точный
2282. dealer [дилэр] | дилер
dealers [дилэрз] | дилеры
2283. button [бэтэн] | кнопка
buttoned [бэтэнд] | застегнутый
buttoning [??] | застегивание-пуговиц
buttons [бэтэнз] | кнопки
2284. burden [бэрдэн] | бремя
burdened [бэрдэнд] | обремененный
burdening [бэрдэниН] | обременение
burdens [бэрдэнз] | бремя
2285. desert [дезэрт][ди'зэрт] | пустыня
deserted [ди'зэртид] | заброшенный
deserting [дезэртиН] | дезертирство
deserts [дезэртс][ди'зэртс] | пустыни
2286. mate [меит] | приятель
mated [меитид] | повязанный
mates [меитс] | приятели
mating [меитиН] | спаривание
2287. occasionally [э'кеижэнэли][э'кеижэнли][э'кеижнэли] | иногда
2288. shareholder [шер,хоулдэр] | акционер
shareholders [шер,хоулдэрз] | акционеры
2289. bowl [боул] | чаша
bowled [боулд] | подан
bowling [боулиН] | боулинг
bowls [боулз] | миски
2290. discovery [дис'кэври][ди'скэвэри][ди'скэври] | открытие
discoveries [ди'скэвэриз] | открытия
2291. resistance [ри'зистэнс][ри'зистэнс] | сопротивление
resistances [??] | сопротивления
2292. bath [бЭС] | ванна
baths [бЭСс] | ванны
2293. frequency [фрикВэнси] | частота
frequencies [фрикВэнсиз] | частоты
2294. criticize [крити,саиз] | критиковать
criticise [??] | критиковать
criticised [??] | критиковали
criticises [??] | критикует
criticising [??] | критикуя
criticized [критэ,саизд] | критиковали
criticizes [крити,саизиз] | критикует
criticizing [крити,саизиН] | критикуя
2295. tap [тЭп] | кран
tapped [тЭпт] | постучал
tapping [тЭпиН] | постукивание
taps [тЭпс] | краны
2296. philosophy [фэ'ласэфи] | философия
philosophies [фэ'ласэфиз] | философии
2297. lip [лип] | губа
lipped [липт] | губами
lips [липс] | губы
2298. attribute [Этрэб,ьют][э'триб,ьют] | атрибут
attributed [э'трибйэтид] | приписано
attributes [Этрэб,ьютс][э'триб,ьютс] | атрибуты
attributing [э'трибйэтиН] | приписывая
2299. apologize [э'палэ,джаиз] | извиниться
apologise [э'палэ,джаиз] | извиняться
apologised [э'палэ,джаизд] | извинился
apologises [э'палэ,джаизиз] | извиняется
apologising [э'палэ,джаизиН] | извиняясь
apologized [э'палэ,джаизд] | извинился
apologizes [э'палэ,джаизиз] | извиняется
apologizing [э'палэ,джаизиН] | извиняясь
2300. approval [э'прувэл] | одобрение
approvals [э'прувэлз] | утверждения
2301. grab [грЭб] | хватать
grabbed [грЭбд] | схватил
grabbing [грЭбиН] | хватание
grabs [грЭбз] | хватает
2302. entitle [ен'таитэл][ин'таитэл] | давать-право
entitled [ен'таитэлд] | уполномоченный
entitles [ен'таитэлз] | дает-право
entitling [ен'таитэлиН][ен'таитлиН] | дающий-право
2303. lend [ленд] | одолжить
lending [лендиН] | кредитование
lends [лендз] | одалживает
lent [лент] | одолжил
2304. involvement [ин'валвмэнт] | участие
involvements [ин'валвмэнтс] | вовлеченности
2305. exposure [ик'споужэр] | воздействие
exposures [ик'споужэрз] | экспозиции
2306. conventional [кэн'веншэнэл] | обычный
2307. digital [диджэтэл][диджитэл] | цифровой
digitals [??] | цифровые
2308. translate [трЭн'слеит][трЭнз'леит] | перевести
translated [трЭн'слеитид][трЭнз'леитид] | переведено
translates [трЭн,слеитс][трЭнз'леитс] | переводит
translating [трЭн,слеитиН][трЭнз'леитиН] | перевод
2309. edit [едэт] | редактировать
edited [едэтэд][едитид] | отредактировано
editing [едэтиН][едитиН] | редактирование
edits [едитс] | правки
2310. formation [фор'меишэн] | формирование
formations [фор'меишэнз] | образования
2311. deposit [дэ'пазит][ди'пазэт] | депозит
deposited [дэ'пазитид][ди'пазэтэд] | депонированный
depositing [дэ'пазитиН] | депонирование
deposits [дэ'пазитс][ди'пазэтс] | депозиты
2312. pleasant [плезэнт] | приятный
pleasanter [??] | приятнее
pleasantest [??] | самый-приятный
2313. overseas [оувэр'сиз] | за-рубежом
oversea [оувэр'си] | заморский
2314. advocate [Эдвэ,кеит][Эдвэкэт] | защитник
advocated [Эдвэ,кеитид] | отстаивал
advocates [Эдвэ,кеитс][Эдвэкэтс] | адвокаты
advocating [Эдвэ,кеитиН] | выступая-за
2315. establishment [и'стЭблишмэнт] | учреждение
establishments [е'стЭблишмэнтс] | учреждения
2316. summary [сэмэри] | резюме
summaries [сэмэриз] | резюме
2317. rough [рэф] | грубый
roughed [рэфт] | грубый
rougher [рэфэр] | грубее
roughest [рэфэст] | грубейший
roughing [рэфиН] | черновая-обработка
roughs [??] | грубости
2318. pen [пен] | ручка
penned [пенд] | написал
penning [пениН] | пеннинг
pens [пенз] | ручки
2319. recovery [ри'кэвэри][ри'кэври] | восстановление
recoveries [ри'кэвэриз] | восстановления
2320. seal [сил] | печать
sealed [силд] | запечатанный
sealing [силиН] | герметизация
seals [силз] | уплотнения
2321. tube [тьюб][туб] | трубка
tubed [??] | трубчатый
tubes [тубз] | трубки
tubing [тубиН] | трубка
